AGE,CREDIT_SCORE,VEHICLE_VALUE,ENGINE_SIZE,MILEAGE_K,NCD_CAPPED,VEHICLE_AGE,LICENCEHELD_YEARS,UKRESIDENCY_YEARS,CLM_NUM_L5Y,DTI,NUMBER_OF_DRIVERS,OVERNIGHT_LOCATION,LICENCE_TYPE,MONTHOFINCEPTION,GROSSVEHICLEWEIGHT_K,AGE_SQUARED,AGE_X_NCD,LOG_VEHICLE_VALUE,EXPERIENCE_RATIO,NCD_RATE,AGE_raw,CREDIT_SCORE_raw,VEHICLE_VALUE_raw,ENGINE_SIZE_raw,MILEAGE_K_raw,NCD_CAPPED_raw,VEHICLE_AGE_raw,LICENCEHELD_YEARS_raw,UKRESIDENCY_YEARS_raw,CLM_NUM_L5Y_raw,DTI_raw,NUMBER_OF_DRIVERS_raw,OVERNIGHT_LOCATION_raw,LICENCE_TYPE_raw,MONTHOFINCEPTION_raw,GROSSVEHICLEWEIGHT_K_raw,AGE_SQUARED_raw,AGE_X_NCD_raw,LOG_VEHICLE_VALUE_raw,EXPERIENCE_RATIO_raw,NCD_RATE_raw
-0.0020035277,-0.0019051154,-2.9800576e-06,-0.0013768859,0.0015730783,-0.00011567626,0.0002884015,-0.00142326,-0.002413408,0.0012498415,-0.00071261567,0.0021722997,0.00073445565,0.0005197366,0.0001907398,-0.0009702487,-0.0021093665,-0.00015929108,0.0002826905,-0.00039546407,0.0014667232,-0.00014596504,-1.5561125e-05,-4.1568476e-10,-0.003274621,0.00017890602,-3.417442e-05,5.4245887e-05,-0.0001497164,-0.000152741,0.0018713824,-6.07447e-05,0.0035186156,0.0004455126,0.020428613,0.00013472902,-0.0013793675,-1.6200698e-06,-8.323169e-07,0.00025720985,-0.00036171896,0.003496413
-0.0049132723,-0.0031724079,0.0024271456,-0.003776933,0.002381458,-0.000820787,-0.0012977051,-0.0049703363,0.0003277883,0.0020406004,-0.0028901913,0.00955195,0.0011391015,0.0017800526,0.0010604946,-0.004400287,-0.0040596263,-0.0021839524,0.00030746753,0.0046504615,0.0075698956,-0.0003579516,-2.5912463e-05,3.3855972e-07,-0.008982606,0.00027084292,-0.0002424864,-0.00024408736,-0.0005228426,2.0745236e-05,0.003055382,-0.00024636535,0.015471917,0.0006909662,0.06996621,0.0007490802,-0.0062557287,-3.11794e-06,-1.1411439e-05,0.00027975356,0.0042536356,0.018045314
-0.0037730797,-0.0040464103,0.0015083458,-0.000741094,0.0035990174,-0.0018697433,-0.00052485743,-0.0037164928,-0.0030551855,0.005620456,-0.0010716384,0.006264974,0.0013990197,0.0033103416,0.0006762538,-0.0012442458,-0.0034733894,-0.0030583402,-0.0012765267,0.0027551334,0.0050577656,-0.000274884,-3.305138e-05,2.103974e-07,-0.0017625294,0.00040931583,-0.0005523813,-9.872125e-05,-0.00039094753,-0.00019335817,0.008415484,-9.134848e-05,0.010147787,0.00084862974,0.1301153,0.00047767177,-0.0017688993,-2.6676887e-06,-1.598023e-05,-0.0011614654,0.002520037,0.012056833
-0.0035455215,-0.0030489457,-0.00028558134,-0.0020326502,0.0016004352,-0.0025423658,0.00074192305,-0.0045851297,-0.0030964676,0.0018386785,-0.0012935875,0.004342248,0.0027561183,0.0010403194,0.00062512344,-0.00026831758,-0.0038484335,-0.0022060806,-0.0005972321,0.0005015251,0.0022073572,-0.00025830546,-2.4904015e-05,-3.9835406e-08,-0.0048342124,0.00018201732,-0.0007510952,0.00013954946,-0.0004823217,-0.00019597085,0.0027530454,-0.000110267836,0.0070334226,0.0016718305,0.040890485,0.00044155587,-0.00038145742,-2.9557361e-06,-1.1527061e-05,-0.00054339983,0.0004587298,0.0052619553
-0.005098068,-0.0014942145,0.0015310582,-0.0031029084,0.0003396565,-0.0017508338,-0.0004889482,-0.0043424023,-0.0008640344,0.0036090259,-0.002112088,0.010139234,0.0024761658,0.005495947,6.474691e-05,-0.004134743,-0.00447742,-0.0017319722,0.00029609294,0.0043905615,0.006526252,-0.00037141473,-1.2204855e-05,2.1356553e-07,-0.0073795863,3.8629092e-05,-0.0005172516,-9.196703e-05,-0.00045678858,-5.4683456e-05,0.005403779,-0.00018003836,0.016423179,0.0015020145,0.21602204,4.5733974e-05,-0.0058782147,-3.4388206e-06,-9.049783e-06,0.00026940423,0.0040159132,0.015557448
-0.004037261,-0.002393633,-0.00023695707,-0.0016015946,0.002699379,-0.003408594,0.00070471346,-0.0054307906,-0.0064637754,0.005321952,0.00062830374,0.0039610253,0.0036620453,0.0005649166,-0.0021028167,0.00085127086,-0.00425543,-0.0035050428,-0.0011693549,-0.00031574123,0.0016197393,-0.00029413067,-1.9551371e-05,-3.3052864e-08,-0.0038090413,0.00030700007,-0.0010070064,0.00013255065,-0.000571279,-0.00040908277,0.007968536,5.3557793e-05,0.006415931,0.002221356,0.022204442,-0.0014853242,0.001210221,-3.2683242e-06,-1.831431e-05,-0.0010639536,-0.0002887989,0.0038611768
-0.003966239,-0.0011023772,0.0012024181,-0.0037601595,0.0028382016,-0.00029800407,0.00020220241,-0.0040064827,-0.0040450995,0.0037065372,-0.0013374669,0.0037989025,0.0024756244,0.0029804173,-0.0009780787,-0.0021222695,-0.005265727,0.0003717665,-0.0003749351,-0.0024506296,0.0022415086,-0.00028895642,-9.004299e-06,1.677239e-07,-0.008942714,0.00032278834,-8.8039815e-05,3.8032565e-05,-0.0004214523,-0.00025600835,0.005549782,-0.000114008195,0.00615333,0.0015016862,0.11714739,-0.00069086574,-0.0030171538,-4.044269e-06,1.942529e-06,-0.00034113985,-0.0022415165,0.0053433664
-0.003517751,-0.0011144731,-0.00034946878,-0.002422427,0.0027100744,-0.0015096248,6.403297e-05,-0.0042555933,-0.006383106,0.003990871,9.2493836e-05,0.0044871946,0.0035907733,0.0022727589,-0.001134549,-0.0007270104,-0.003680741,-0.0015958656,-0.0004721331,-0.0024755641,0.00066544407,-0.00025628228,-9.103099e-06,-4.8746994e-08,-0.0057612113,0.00030821646,-0.00044599085,1.204406e-05,-0.0004476569,-0.00040397732,0.0059755137,7.884349e-06,0.007268202,0.002178123,0.08933238,-0.0008013885,-0.0010335644,-2.8269424e-06,-8.338608e-06,-0.0004295768,-0.0022643234,0.0015863029
-0.0035625775,-0.0017074943,0.0008605495,-0.003002782,0.002875368,-0.0015384323,-0.002593128,-0.0032737022,-0.003444369,0.0024170876,0.0008440298,0.0040425826,0.0008985788,0.0034127792,0.0006410381,-0.0011660091,-0.0040099537,-0.0009015114,0.0008169202,-0.0023709428,0.0010367375,-0.00025954808,-1.3946939e-05,1.2003704e-07,-0.007141458,0.0003270153,-0.0004545015,-0.00048774548,-0.00034436924,-0.000217989,0.0036190948,7.194669e-05,0.006548035,0.0005450679,0.13414168,0.0004527972,-0.001657673,-3.0797896e-06,-4.710516e-06,0.00074328604,-0.0021686293,0.0024714018
-0.004064752,-0.00329582,0.00019742746,-0.0030471515,0.0013381866,-0.002558983,0.00025046838,-0.0049859704,-0.0035624118,0.0014419988,-0.0019360497,0.0045148074,0.002839656,0.00035199,0.0011473694,-0.0005315921,-0.004573776,-0.0020688993,-0.0009717988,0.000997375,0.0021908013,-0.00029613348,-2.6920503e-05,2.7538926e-08,-0.007246981,0.0001521918,-0.0007560044,4.711099e-05,-0.0005244872,-0.00022545976,0.0021590984,-0.00016503251,0.0073129283,0.0017225037,0.013835213,0.0008104442,-0.0007557453,-3.5128255e-06,-1.0810271e-05,-0.00088420446,0.0009122686,0.005222489
